Name,Speed,Module,First Word Latency,CAS Latency,Price Per GB,Color,Rating,Review Count,Price_2018_01,Price_2018_02,Price_2018_03,Price_2018_04,Price_2018_05,Price_2018_06,Price_2018_07,Price_2018_08,Price_2018_09,Price_2018_10,Price_2018_11,Price_2018_12,Price_2019_01,Price_2019_02,Price_2019_03,Price_2019_04,Price_2019_05,Price_2019_06,Price_2019_07,Price_2019_08,Price_2019_09,Price_2019_10,Price_2019_11,Price_2019_12,Price_2020_01,Price_2020_02,Price_2020_03,Price_2020_04,Price_2020_05,Price_2020_06,Price_2020_07,Price_2020_08,Price_2020_09,Price_2020_10,Price_2020_11,Price_2020_12,Price_2021_01,Price_2021_02,Price_2021_03,Price_2021_04,Price_2021_05,Price_2021_06,Price_2021_07,Price_2021_08,Price_2021_09,Price_2021_10,Price_2021_11,Price_2021_12,Price_2022_01,Price_2022_02,Price_2022_03,Price_2022_04,Price_2022_05,Price_2022_06,Price_2022_07,Price_2022_08,Price_2022_09,Price_2022_10,Price_2022_11,Price_2022_12,Price_2023_01,Price_2023_02,Price_2023_03,Price_2023_04,Price_2023_05,Price_2023_06,Price_2023_07,Price_2023_08,Price_2023_09,Price_2023_10,Price_2023_11,Price_2023_12,Price_2024_01,Price_2024_02,Price_2024_03,Price_2024_04,Price_2024_05,Price_2024_06,Price_2024_07,Price_2024_08,Price_2024_09,Price_2024_10,Price_2024_11,Price_2024_12,Price_2025_01,Price_2025_02,Price_2025_03,Price_2025_04,Price_2025_05,Price_2025_06,Price_2025_07,Price_2025_08,Price_2025_09,Price_2025_10,Price_2025_11,Price_2025_12,Price_2026_01,Price_2026_02,Price_Current_2026_2_18
Crucial Pro Overclocking 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$8.56,Black,4.5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$684.98,$684.98,$662.14,$639.31,$616.48,$593.64,$570.81,$547.98,$525.15,$502.32,$479.48,$456.65,$433.82,$410.99,$395.00,$379.02,$363.04,$347.05,$331.07,$315.09,$299.11,$283.12,$267.14,$251.16,$235.17,$219.19,$212.34,$205.49,$198.64,$191.79,$184.94,$178.09,$171.24,$164.39,$157.54,$150.69,$143.84,$137.00,$141.56,$146.13,$150.69,$155.26,$159.83,$232.89,$239.74,$246.59,$253.44,$115.08,$186.31,$273.99,$347.97,$326.05,$325.99
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.75,Black,4.5,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,019.98","$1,019.98",$985.98,$951.98,$917.98,$883.98,$849.98,$815.98,$781.98,$747.98,$713.98,$679.98,$645.98,$611.99,$588.19,$564.39,$540.59,$516.79,$492.99,$469.19,$445.39,$421.59,$397.79,$373.99,$350.19,$326.39,$316.19,$305.99,$295.79,$285.59,$275.39,$265.19,$254.99,$244.79,$234.59,$224.39,$214.19,$204.00,$210.79,$217.59,$224.39,$231.19,$237.99,$346.79,$356.99,$367.19,$377.39,$171.36,$277.43,$407.99,$518.15,$485.51,$439.99
Corsair Vengeance LPX 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$5.34,Black / Yellow,4.5,72,$240.81,$242.24,$243.66,$245.09,$246.51,$247.94,$249.36,$250.79,$252.21,$253.64,$255.06,$256.49,$213.74,$205.19,$196.64,$188.09,$179.54,$170.99,$162.44,$153.89,$145.34,$136.79,$128.24,$119.69,$104.02,$105.44,$106.87,$108.29,$109.72,$111.14,$112.57,$113.99,$115.42,$116.84,$118.27,$119.69,$122.54,$125.39,$128.24,$131.09,$133.94,$136.79,$139.64,$142.49,$145.34,$148.19,$151.04,$153.89,$149.62,$145.34,$141.07,$136.79,$132.52,$128.24,$123.97,$119.69,$115.42,$111.14,$106.87,$102.59,$99.74,$96.89,$94.04,$91.19,$88.34,$85.50,$82.65,$79.80,$76.95,$74.10,$71.25,$68.40,$69.82,$71.25,$72.67,$74.10,$75.52,$76.95,$78.37,$79.80,$81.22,$82.65,$84.07,$85.50,$88.34,$91.19,$94.04,$96.89,$99.74,$145.34,$149.62,$153.89,$158.17,$71.82,$116.27,$170.99,$249.65,$273.58,$269.00
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$11.41,Black,4.5,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$912.50,$912.50,$882.08,$851.67,$821.25,$790.83,$760.42,$730.00,$699.58,$669.17,$638.75,$608.33,$577.92,$547.50,$526.21,$504.92,$483.62,$462.33,$441.04,$419.75,$398.46,$377.17,$355.88,$334.58,$313.29,$292.00,$282.88,$273.75,$264.63,$255.50,$246.38,$237.25,$228.12,$219.00,$209.88,$200.75,$191.63,$182.50,$188.58,$194.67,$200.75,$206.83,$212.92,$310.25,$319.38,$328.50,$337.62,$153.30,$248.20,$365.00,$463.55,$434.35,$449.99
Corsair Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.06,Black / Yellow,4.5,511,$159.13,$160.07,$161.01,$161.95,$162.89,$163.84,$164.78,$165.72,$166.66,$167.60,$168.54,$169.48,$141.24,$135.59,$129.94,$124.29,$118.64,$112.99,$107.34,$101.69,$96.04,$90.39,$84.74,$79.09,$68.74,$69.68,$70.62,$71.56,$72.50,$73.44,$74.39,$75.33,$76.27,$77.21,$78.15,$79.09,$80.98,$82.86,$84.74,$86.63,$88.51,$90.39,$92.28,$94.16,$96.04,$97.92,$99.81,$101.69,$98.87,$96.04,$93.22,$90.39,$87.57,$84.74,$81.92,$79.09,$76.27,$73.44,$70.62,$67.79,$65.91,$64.03,$62.14,$60.26,$58.38,$56.49,$54.61,$52.73,$50.85,$48.96,$47.08,$45.20,$46.14,$47.08,$48.02,$48.96,$49.90,$50.85,$51.79,$52.73,$53.67,$54.61,$55.55,$56.49,$58.38,$60.26,$62.14,$64.03,$65.91,$96.04,$98.87,$101.69,$104.52,$47.46,$76.83,$112.99,$164.97,$180.78,$144.99
Crucial Pro 32 GB,DDR5-5600,2 x 16GB,16.429 ns,46,$8.16,Black,5.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$652.48,$652.48,$630.73,$608.98,$587.23,$565.48,$543.73,$521.98,$500.23,$478.48,$456.73,$434.98,$413.23,$391.49,$376.26,$361.04,$345.81,$330.59,$315.36,$300.14,$284.91,$269.69,$254.47,$239.24,$224.02,$208.79,$202.27,$195.74,$189.22,$182.69,$176.17,$169.64,$163.12,$156.59,$150.07,$143.54,$137.02,$130.50,$134.84,$139.19,$143.54,$147.89,$152.24,$221.84,$228.37,$234.89,$241.42,$109.62,$177.47,$260.99,$331.46,$310.58,$323.99
Corsair Vengeance RGB 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$13.77,Black,4.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,202.47","$2,202.47","$2,129.06","$2,055.64","$1,982.23","$1,908.81","$1,835.40","$1,761.98","$1,688.56","$1,615.15","$1,541.73","$1,468.32","$1,394.90","$1,321.49","$1,270.09","$1,218.70","$1,167.31","$1,115.92","$1,064.53","$1,013.14",$961.75,$910.36,$858.97,$807.57,$756.18,$704.79,$682.77,$660.74,$638.72,$616.69,$594.67,$572.64,$550.62,$528.59,$506.57,$484.54,$462.52,$440.50,$455.18,$469.86,$484.54,$499.23,$513.91,$748.84,$770.87,$792.89,$814.92,$370.02,$599.07,$880.99,"$1,118.86","$1,048.38","$1,048.38"
G.Skill Trident Z5 Neo RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$15.47,Black,4.5,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,237.47","$1,237.47","$1,196.23","$1,154.98","$1,113.73","$1,072.48","$1,031.23",$989.98,$948.73,$907.48,$866.23,$824.98,$783.73,$742.49,$713.61,$684.74,$655.86,$626.99,$598.11,$569.24,$540.36,$511.49,$482.62,$453.74,$424.87,$395.99,$383.62,$371.24,$358.87,$346.49,$334.12,$321.74,$309.37,$296.99,$284.62,$272.24,$259.87,$247.50,$255.74,$263.99,$272.24,$280.49,$288.74,$420.74,$433.12,$445.49,$457.87,$207.90,$336.59,$494.99,$628.64,$589.04,$589.04
Silicon Power GAMING 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.30,Black / Gray,4.5,67,$164.48,$165.45,$166.43,$167.40,$168.37,$169.35,$170.32,$171.29,$172.27,$173.24,$174.21,$175.19,$145.99,$140.15,$134.31,$128.47,$122.63,$116.79,$110.95,$105.11,$99.27,$93.43,$87.59,$81.75,$71.05,$72.02,$72.99,$73.97,$74.94,$75.91,$76.89,$77.86,$78.83,$79.81,$80.78,$81.75,$83.70,$85.65,$87.59,$89.54,$91.49,$93.43,$95.38,$97.33,$99.27,$101.22,$103.16,$105.11,$102.19,$99.27,$96.35,$93.43,$90.51,$87.59,$84.67,$81.75,$78.83,$75.91,$72.99,$70.07,$68.13,$66.18,$64.23,$62.29,$60.34,$58.40,$56.45,$54.50,$52.56,$50.61,$48.66,$46.72,$47.69,$48.66,$49.64,$50.61,$51.58,$52.56,$53.53,$54.50,$55.48,$56.45,$57.42,$58.40,$60.34,$62.29,$64.23,$66.18,$68.13,$99.27,$102.19,$105.11,$108.03,$49.05,$79.42,$116.79,$170.51,$186.86,$169.35
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.75,White / Silver,4.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,019.98","$1,019.98",$985.98,$951.98,$917.98,$883.98,$849.98,$815.98,$781.98,$747.98,$713.98,$679.98,$645.98,$611.99,$588.19,$564.39,$540.59,$516.79,$492.99,$469.19,$445.39,$421.59,$397.79,$373.99,$350.19,$326.39,$316.19,$305.99,$295.79,$285.59,$275.39,$265.19,$254.99,$244.79,$234.59,$224.39,$214.19,$204.00,$210.79,$217.59,$224.39,$231.19,$237.99,$346.79,$356.99,$367.19,$377.39,$171.36,$277.43,$407.99,$518.15,$485.51,$439.99
